"study_id","site_id","core_id","year","month","latitude","longitude","position_method","salinity_class","salinity_method","vegetation_class","vegetation_method","habitat","inundation_class","inundation_method"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R8_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R9_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R10_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R11_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R12_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R13_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R14_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R15_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R16_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R17_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R18_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R19_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R20_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R21_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R22_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R23_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R24_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R25_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R26_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R27_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R28_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R29_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R30_2023",2023,11,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R1_2024",2024,3,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R2_2024",2024,3,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R3_2024",2024,3,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R4_2024",2024,3,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S2_R5_2024",2024,3,-33.122287,18.055934,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R1_2024",2024,3,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R2_2024",2024,3,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R3_2024",2024,3,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R4_2024",2024,3,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
"Bossert_et_al_2025_Langebaan","Langebaan","S5_R5_2024",2024,3,-33.196894,18.114506,"other moderate resolution","estuarine","field observation","seagrass","field observation","seagrass","low","field observation"
