study_id,site_id,core_id,species_code,code_type,habitat
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops1,Swartkops1_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C1,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C2,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C3,Zostera capensis,Genus species,seagrass
Ndhlovu_et_al_2024,Swartkops2,Swartkops2_C4,Zostera capensis,Genus species,seagrass
